Date;Month;Year;Day;Hour;Grid;PV;Storage;C65B;C65
5/12/2014 17:00;12;2014;5;17;170.0912562;0.02287081;-1.600000024;0.105609125;0.14450148
5/12/2014 18:00;12;2014;5;18;149.20842;0.022221113;-1.600000024;0.106021635;0.14447256
5/12/2014 19:00;12;2014;5;19;134.695222;0.021721853;-1.600000024;0.10608894;0.145082976
5/12/2014 20:00;12;2014;5;20;134.7028455;0.021795901;-1.600000024;0.106119345;0.14522937
5/12/2014 21:00;12;2014;5;21;124.8777116;0.021271145;-1.600000024;0.105870705;0.14357509
5/12/2014 22:00;12;2014;5;22;115.9278746;0.021277033;-1.600000024;0.105842465;0.145151054
5/12/2014 23:00;12;2014;5;23;101.050755;0.019593272;-1.600000024;0.10599062;0.144944727
6/12/2014 0:00;12;2014;6;0;95.59261296;0.020390559;-1.600000024;0.106345821;0.145766965
6/12/2014 1:00;12;2014;6;1;90.73920034;0.020568051;-1.600000024;0.10591255;0.144605645
6/12/2014 2:00;12;2014;6;2;88.7168733;0.02065725;-1.600000024;0.105984365;0.144993166
6/12/2014 3:00;12;2014;6;3;92.91486931;0.019726888;-1.600000024;0.105695585;0.144481983
6/12/2014 4:00;12;2014;6;4;89.81710675;0.019905156;-1.600000024;0.105581165;0.14546686
6/12/2014 5:00;12;2014;6;5;110.3798096;0.019947195;-1.600000024;0.106212555;0.145395754
6/12/2014 6:00;12;2014;6;6;123.8332643;0.020724306;-1.600000024;0.1058048;0.145363844
6/12/2014 7:00;12;2014;6;7;130.5985564;0.020881219;-1.600000024;0.10586731;0.14558482
6/12/2014 8:00;12;2014;6;8;116.1629907;0.020598972;-1.600000024;0.10622907;0.146312164
6/12/2014 9:00;12;2014;6;9;110.3567823;-0.786653753;-1.600000024;0.10669823;0.145867117
6/12/2014 10:00;12;2014;6;10;117.0498241;-3.586644661;-1.600000024;0.106491125;0.14621648
6/12/2014 11:00;12;2014;6;11;120.5020138;-2.717664534;-1.600000024;0.10620136;0.14544727
6/12/2014 12:00;12;2014;6;12;116.1866683;-6.257904061;-1.600000024;0.106385525;0.145965574
